Product,SVM_TYP_CD,MVM_DRC_CD,SVC_FEA_TYP_CD
Import,WFM,I,MAF
Import,WFM,I,MAT
Import,WFM,I,MBF
Import,WFM,I,MBT
Import,WFM,I,MDF
Import,WFM,I,MDT
Import,WFM,I,MFC
Import,WFM,I,MTP
Import,WWS,I,AFC
Import,WWS,I,AGC
Import,WWS,I,ALL
Import,WWS,I,ATB
Import,WWS,I,BFC
Import,WWS,I,BTP
Import,WWS,I,GFC
Import,WWS,I,GTP
Import,WWS,I,MFC
Import,WWS,I,MTP
Import,WWS,I,SFC
Import,WWS,I,STP
Import,WXP,I,ALL
Import,WXP,I,BAF
Import,WXP,I,BAT
Import,WXP,I,BBF
Import,WXP,I,BBT
Import,WXP,I,BDF
Import,WXP,I,BDT
Import,WXP,I,BFC
Import,WXP,I,BTP
Import,WXP,I,MAF
Import,WXP,I,MAT
Import,WXP,I,MBF
Import,WXP,I,MBT
Import,WXP,I,MDF
Import,WXP,I,MDT
Import,WXP,I,MFC
Import,WXP,I,MTP
Import,WXS,I,AFC
Import,WXS,I,AGC
Import,WXS,I,ALL
Import,WXS,I,ATB
Import,WXS,I,BFC
Import,WXS,I,BTP
Import,WXS,I,GFC
Import,WXS,I,GTP
Import,WXS,I,MFC
Import,WXS,I,MTP
Import,WXS,I,SFC
Import,WXS,I,STP
Import,XPD,I,AFC
Import,XPD,I,AGC
Import,XPD,I,ALL
Import,XPD,I,ATB
Import,XPD,I,BFC
Import,XPD,I,BTP
Import,XPD,I,GFC
Import,XPD,I,GTP
Import,XPD,I,MFC
Import,XPD,I,MTP
Import,XPD,I,SFC
Import,XPD,I,STP
Import,XPR,I,AFC
Import,XPR,I,AGC
Import,XPR,I,ALL
Import,XPR,I,ATB
Import,XPR,I,BFC
Import,XPR,I,BTP
Import,XPR,I,GFC
Import,XPR,I,GTP
Import,XPR,I,MFC
Import,XPR,I,MTP
Import,XPR,I,SFC
Import,XPR,I,STP
