MKG_SVP_DSC_TE,Product,MVM_DRC_CD,SVM_TYP_CD,SVC_FEA_TYP_CD,PKG_CHA_TYP_CD,ASY_SVC_TYP_CD,PKG_ACQ_MTH_TYP_CD
UPS Next Day Air^RM - Single Piece Residential Letter - Prepaid,1DA,N,1DA,SPR,LTR,GDL,ALL
UPS Next Day Air^RM - Single Piece Residential Package - Prepaid,1DA,N,1DA,SPR,PKG,GDL,ALL
UPS Next Day Air^RM - Single Piece Letter - Prepaid,1DA,N,1DA,SPX,LTR,GDL,ALL
UPS Next Day Air^RM - Single Piece Package - Prepaid,1DA,N,1DA,SPX,PKG,GDL,ALL
UPS Next Day Air^RM - Single Piece Residential - Third Party,1DA,N,1DA,STC,ALL,GDL,ALL
UPS Next Day Air^RM - Single Piece Residential Letter - Third Party,1DA,N,1DA,STC,LTR,GDL,ALL
UPS Next Day Air^RM - Single Piece Residential Package - Third Party,1DA,N,1DA,STC,PKG,GDL,ALL
UPS Next Day Air^RM - Single Piece Commercial - Third Party,1DA,N,1DA,STP,ALL,GDL,ALL
UPS Next Day Air^RM - Single Piece Commercial Letter - Third Party,1DA,N,1DA,STP,LTR,GDL,ALL
UPS Next Day Air^RM - Single Piece Commercial Package - Third Party,1DA,N,1DA,STP,PKG,GDL,ALL
UPS Next Day Air^RM - Single Piece Residential - Third Party,1DA,N,1DA,STR,ALL,GDL,ALL
UPS Next Day Air^RM - Single Piece Residential Letter - Third Party,1DA,N,1DA,STR,LTR,GDL,ALL
UPS Next Day Air^RM - Single Piece Residential Package - Third Party,1DA,N,1DA,STR,PKG,GDL,ALL
UPS Next Day Air^RM Early,1DA,N,1DM,ALL,ALL,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Commercial Letter - Return Service,1DA,N,1DM,APB,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Commercial  Package - Return Service,1DA,N,1DM,APB,PKG,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential  Letter - Return Service,1DA,N,1DM,APC,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential  Package - Return Service,1DA,N,1DM,APC,PKG,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential  Letter - Return Service,1DA,N,1DM,APR,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential  Package - Return Service,1DA,N,1DM,APR,PKG,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Commercial Letter - Return Service - Third Party,1DA,N,1DM,ATB,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Commercial Package - Return Service - Third Party,1DA,N,1DM,ATB,PKG,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Letter - Return Service - Third Party,1DA,N,1DM,ATC,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Package - Return Service - Third Party,1DA,N,1DM,ATC,PKG,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Letter - Return Service - Third Party,1DA,N,1DM,ATR,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Package - Return Service - Third Party,1DA,N,1DM,ATR,PKG,GDL,ALL
UPS Next Day Air^RM Early - Letter - Consignee Billing - Regular Pickup,1DA,N,1DM,CBB,LTR,GDL,REG
UPS Next Day Air^RM Early - Package - Consignee Billing - Regular Pickup,1DA,N,1DM,CBB,PKG,GDL,REG
UPS Next Day Air^RM Early - Single Piece Residential - Freight Collect,1DA,N,1DM,FFC,ALL,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Letter - Freight Collect Frt,1DA,N,1DM,FFC,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Package - Freight Collect Frt,1DA,N,1DM,FFC,PKG,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Undeliverable Return - Letter - Prepaid,1DA,N,1DM,RTB,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Undeliverable Return - Package - Prepaid,1DA,N,1DM,RTB,PKG,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Undeliverable Return - Letter - Third Party,1DA,N,1DM,RXB,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Undeliverable Return - Package - Third Party,1DA,N,1DM,RXB,PKG,GDL,ALL
UPS Next Day Air^RM Early - Undeliverable Return - Letter - Freight Collect,1DA,N,1DM,RZB,LTR,GDL,ALL
UPS Next Day Air^RM Early - Undeliverable Return - Package - Freight Collect,1DA,N,1DM,RZB,PKG,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Package - Prepaid,1DA,N,1DM,SCR,ALL,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Letter - Prepaid Frt,1DA,N,1DM,SCR,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Package - Prepaid Frt,1DA,N,1DM,SCR,PKG,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Letter - Prepaid Frt,1DA,N,1DM,SCX,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Package - Prepaid Frt,1DA,N,1DM,SCX,PKG,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Commercial - Freight Collect,1DA,N,1DM,SFC,ALL,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Commercial Letter - Freight Collect,1DA,N,1DM,SFC,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Commercial Package - Freight Collect,1DA,N,1DM,SFC,PKG,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential - Freight Collect,1DA,N,1DM,SFR,ALL,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Letter - Freight Collect,1DA,N,1DM,SFR,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Package - Freight Collect,1DA,N,1DM,SFR,PKG,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Commercial - Prepaid,1DA,N,1DM,SPB,ALL,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Commercial Letter - Prepaid,1DA,N,1DM,SPB,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Commercial Package - Prepaid,1DA,N,1DM,SPB,PKG,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Package - Prepaid,1DA,N,1DM,SPR,ALL,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Letter - Prepaid,1DA,N,1DM,SPR,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Package - Prepaid,1DA,N,1DM,SPR,PKG,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Letter - Prepaid,1DA,N,1DM,SPX,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Package - Prepaid,1DA,N,1DM,SPX,PKG,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential - Third Party,1DA,N,1DM,STC,ALL,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Letter - Third Party,1DA,N,1DM,STC,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Package - Third Party,1DA,N,1DM,STC,PKG,GDL,ALL
