"SVC_GRP_NR","SVC_GRP_SUF_NR","NVP_BID_NR","TRG_PSE_SVC_ID","SVC_FEA_TYP_CD","SVC_FEA_TYP_DSC_TE","PKG_CHA_TYP_CD","PKG_CHA_TYP_DSC_TE","SVC_TYP_CD","SVC_TYP_CD_DSC_TE","CPE_CRR_NR","CRR_ABR_NA","CPE_CRR_FUL_NA","BID_CPE_DTL_CD","CPE_PDC_NR","CPE_PDC_ABR_DSC_TE","CPE_PDC_DSC_TE","CCY_CD","CCY_NA","BID_UPS_PJT_WVL_QY","BID_CUS_PRR_WVL_QY","UPS_PRJ_GRS_RPP_A","BID_MRG_CPP_A","SVC_GRP_CUS_NCV_A","SVC_GRP_PSE_NCV_PR","CPE_SVC_RPP_A","BID_FA_CPP_A","SVC_EFF_DT","SVC_END_DT","NVP_ETM_CMC_WK_PR","CUS_PRR_NCV_PR","AVG_PKG_WGT_QY","CPE_GRS_RPP_A","CPE_NET_RPP_A","LOS_PKG_AVG_QY","PDC_AVG_ZN_QY","RA_TRI_DER_AVG_QY","RA_TRI_AVG_QY","SMT_PKG_AVG_SMP_QY","SMT_TOT_AVG_QY","SMT_WGT_AVG_QY","WGT_MS_UNT_TYP_CD","PCN_SUB_MTH_TYP_CD","NVP_BID_FRT_GRR_A","MVM_DRC_CD","CU_SMP_AVG_WGT_QY","CU_SMP_AVG_NR","CALC_CUBE_PACKAGE_DENSITY"
"AHYKJKO","00","P000022997","N1DALTRSCX","SCX","                    ","LTR","                    ","1DA","                    ","000016","FEXP1 ","                    ","2","0000","                    ","                    ","USD","                    ",1,0,32.3018,8.111993,0,0,0,10.414299,04-MAR-17,19-JAN-47,0.848,0,,,,,,,,,,,"LB","T",32.5526,"N",0,0.0353,0
"AHYKJKP","00","P000022997","N1DAPKGSCX","SCX","                    ","PKG","                    ","1DA","                    ","000016","FEXP1 ","                    ","2","0000","                    ","                    ","USD","                    ",1,0,48.0088,9.122143,0,0,0,11.500649,04-MAR-17,19-JAN-47,0.849,0,,,,,,,,,,,"LB","T",48.441,"N",0,0.154414,0
"AHYKJKQ","00","P000022997","N1DPLTRSCX","SCX","                    ","LTR","                    ","1DP","                    ","000016","FEXSOS","                    ","2","0000","                    ","                    ","USD","                    ",1,0,31.7353,6.032369,0,0,0,7.865458,04-MAR-17,19-JAN-47,0.59,0,,,,,,,,,,,"LB","T",31.7353,"N",0,0.0353,0
"AHYKJKR","00","P000022997","N1DPPKGSCX","SCX","                    ","PKG","                    ","1DP","                    ","000016","FEXSOS","                    ","2","0000","                    ","                    ","USD","                    ",1,0,45.4316,7.784362,0,0,0,9.886089,04-MAR-17,19-JAN-47,0.589,0,,,,,,,,,,,"LB","T",45.4316,"N",0,0.154499,0
"AHYKJKS","00","P000022997","N2DALTRSCX","SCX","                    ","LTR","                    ","2DA","                    ","000016","FEXECO","                    ","2","0000","                    ","                    ","USD","                    ",1,0,20.4209,6.022739,0,0,0,8.059933,04-MAR-17,19-JAN-47,0.626,0,,,,,,,,,,,"LB","T",20.6983,"N",0,0.0353,0
"AHYKJKT","00","P000022997","N2DAPKGSCX","SCX","                    ","PKG","                    ","2DA","                    ","000016","FEXECO","                    ","2","0000","                    ","                    ","USD","                    ",0.1,0,19.07,3.621028,0,0,0,5.123387,04-MAR-17,19-JAN-47,0,0,,,,,,,,,,,"LB","T",23.07,"N",7,0.65435,10.6976
"AHYKJKU","00","P000022997","N2DMLTRSPB","SPB","                    ","LTR","                    ","2DM","                    ","000016","FEXECO","                    ","2","0000","                    ","                    ","USD","                    ",1,0,22.363,5.588838,0,0,0,7.302281,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",22.5733,"N",0,0.0353,0
"AHYKJKV","00","P000022997","N2DMPKGSPB","SPB","                    ","PKG","                    ","2DM","                    ","000016","FEXECO","                    ","2","0000","                    ","                    ","USD","                    ",0.1,0.1,27.09,6.408105,0,0,0,8.214611,04-MAR-17,19-JAN-47,1,0.3002,,,,,,,,,,,"LB","T",27.09,"N",4,0.36874,10.8478
"AHYKJKW","00","P000022997","N3DSPKGSCX","SCX","                    ","PKG","                    ","3DS","                    ","000016","FEDEXX","                    ","2","0000","                    ","                    ","USD","                    ",0.1,0,36.1339,9.537352,0,0,0,11.757066,04-MAR-17,19-JAN-47,0.616,0,,,,,,,,,,,"LB","T",36.4513,"N",0,0.899254,0
"AHYKJKX","00","P000022997","NGNDPKGSPB","SPB","                    ","PKG","                    ","GND","                    ","000016","FEXGND","                    ","2","0000","                    ","                    ","USD","                    ",164.8,164.8,14.9694,5.307998,0,0,0,6.707629,04-MAR-17,19-JAN-47,1,0.2877,,,,,,,,,,,"LB","T",15.2185,"N",18.374031,1.696357,10.8315
"AHYKJKY","00","P000022997","NGNDPKGSCR","SCR","                    ","PKG","                    ","GND","                    ","000016","FEXGND","                    ","2","0000","                    ","                    ","USD","                    ",16.1,16.1,11.3204,6.061242,0,0,0,8.078794,04-MAR-17,19-JAN-47,0,0.197,,,,,,,,,,,"LB","T",15.4136,"N",10.33602,0.952402,10.8526
"AHYKJKZ","00","P000022997","EXPRDOCALL","ALL","                    ","DOC","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,84.9843,6.66507,0,0,0,8.138783,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",84.9843,"E",0,0.0021,0
"AHYKJLA","00","P000022997","EXPRLTRALL","ALL","                    ","LTR","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,54.254,9.320076,0,0,0,10.769792,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",54.254,"E",0,0.001,0
"AHYKJLB","00","P000022997","EXPRPKGALL","ALL","                    ","PKG","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,86.8942,5.604404,0,0,0,6.796359,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",86.8942,"E",0,0.0021,0
"AHYKJLC","00","P000022997","EXPDDOCALL","ALL","                    ","DOC","                    ","XPD","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,93.3035,8.545252,0,0,0,9.744829,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",93.3035,"E",0,0.0025,0
"AHYKJLD","00","P000022997","EXPDPKGALL","ALL","                    ","PKG","                    ","XPD","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,86.6768,7.249679,0,0,0,8.422719,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",86.6768,"E",0,0.0025,0
"AHYKJLE","00","P000022997","EWXSDOCALL","ALL","                    ","DOC","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,110.5208,10.627178,0,0,0,12.270359,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",110.5208,"E",0,0.0021,0
"AHYKJLF","00","P000022997","EWXSLTRALL","ALL","                    ","LTR","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,60.9322,9.740113,0,0,0,11.358939,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",60.9322,"E",0,0.001,0
"AHYKJLG","00","P000022997","EWXSPKGALL","ALL","                    ","PKG","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,89.8451,6.888836,0,0,0,8.235036,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",89.8451,"E",0,0.0021,0
"AHYKJLH","00","P000022997","EWWSPKGALL","ALL","                    ","PKG","                    ","WWS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,49.5395,2.651296,0,0,0,3.322369,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",49.5395,"E",0,0.0019,0
"AHYKJLI","00","P000022997","EWWSDOCALL","ALL","                    ","DOC","                    ","WWS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,49.78,2.651296,0,0,0,3.322369,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",49.78,"E",0,0.0019,0
"AHYKJLJ","00","P000022997","EXPRPAKALL","ALL","                    ","PAK","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,70.8975,6.482435,0,0,0,8.059128,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",70.8975,"E",0,0.0021,0
"AHYKJLK","00","P000022997","EWXSPAKALL","ALL","                    ","PAK","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,79.1559,6.76977,0,0,0,7.736856,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",79.1559,"E",0,0.0021,0
"AHYKJLL","00","P000022997","EWXPPALALL","ALL","                    ","PAL","                    ","WXP","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,1420.5325,84.727655,0,0,0,115.63444,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",1420.5325,"E",0,1.32,0
"AHYKJLU","00","P000022997","IXPDDOCALL","ALL","                    ","DOC","                    ","XPD","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,121.0964,18.389324,0,0,0,19.516368,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",121.0964,"I",0,0.0025,0
"AHYKJLV","00","P000022997","IXPDPKGALL","ALL","                    ","PKG","                    ","XPD","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,121.0964,19.11784,0,0,0,20.245431,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",121.0964,"I",0,0.0025,0
"AHYKJLW","00","P000022997","IXPRDOCALL","ALL","                    ","DOC","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,106.9329,18.11043,0,0,0,19.552698,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",106.9329,"I",0,0.0021,0
"AHYKJLX","00","P000022997","IXPRLTRALL","ALL","                    ","LTR","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,83.2468,16.851357,0,0,0,18.322135,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",83.2468,"I",0,0.001,0
"AHYKJLY","00","P000022997","IXPRPKGALL","ALL","                    ","PKG","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,137.0911,20.250105,0,0,0,21.69292,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",137.0911,"I",0,0.0021,0
"AHYKJLZ","00","P000022997","IWXSDOCALL","ALL","                    ","DOC","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,99.9279,17.612065,0,0,0,18.973014,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",99.9279,"I",0,0.0021,0
"AHYKJMA","00","P000022997","IWXSLTRALL","ALL","                    ","LTR","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,80.0104,16.524569,0,0,0,17.962529,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",80.0104,"I",0,0.001,0
"AHYKJMB","00","P000022997","IWXSPKGALL","ALL","                    ","PKG","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,132.3252,19.915153,0,0,0,21.276649,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",132.3252,"I",0,0.0021,0
"AHYKJMC","00","P000022997","IWWSPKGALL","ALL","                    ","PKG","                    ","WWS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,40.73,3.629738,0,0,0,4.768792,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",40.73,"I",0,0.0019,0
"AHYKJMD","00","P000022997","IWWSDOCALL","ALL","                    ","DOC","                    ","WWS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,40.73,3.299738,0,0,0,4.438792,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",40.73,"I",0,0.0019,0
"AHYKJME","00","P000022997","IWXPPALALL","ALL","                    ","PAL","                    ","WXP","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,1742.54,76.745471,0,0,0,123.709754,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",1742.54,"I",0,1.32,0
"AHYKJMF","00","P000022997","IGNDPKGALL","ALL","                    ","PKG","                    ","GND","                    ","000045","USPS  ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,23.32,3.714483,0,0,0,4.726702,04-MAR-17,19-JAN-47,0.783,0,,,,,,,,,,,"LB","T",23.32,"I",0,0.0019,0
"AHYKJMG","00","P000022997","EGNDPKGALL","ALL","                    ","PKG","                    ","GND","                    ","000045","USPS  ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,22.054,3.238796,0,0,0,3.718955,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",22.054,"E",0,0.0019,0
"AHYKJMO","00","P000022997","NGNDPKGCWT","CWT","                    ","PKG","                    ","GND","                    ","000016","FEXGND","                    ","2","0032","                    ","                    ","USD","                    ",2.074,2.07,26.9447,8.796405,0,0,0,10.570017,04-MAR-17,19-JAN-47,1,0.3324,35.41,22.984,20.09,45,6,4,6,13.6,0.15,481.6,"LB","T",27.1315,"N",36.25,3.327938,10.8926
"AHYKJMU","01","P000022997","NUSGPKGSCR","SCR","                    ","PKG","                    ","USG","                    ","000045","USPS2 ","                    ","1","0000","                    ","                    ","USD","                    ",155.972,12.4,11.153,5.064627,0,0,8.9224,5.694427,04-MAR-17,19-JAN-47,0,0.0398,,,,,,,,,,,"LB","T",11.2993,"N",5.598227,0.474048,11.8094
"AHZCCMD","00","P000022997","NUSGALLALL","ALL","                    ","ALL","                    ","USG","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",1,0,0.01,0,0,0,0,0,04-MAR-17,19-JAN-47,0,,,,,,,,,,,,"LB"," ",0.01,"N",0,0,0
"AHZWBQW","00","P000023012","N1DALTRSCX","SCX","                    ","LTR","                    ","1DA","                    ","000016","FEXP1 ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,32.5629,7.117042,0,0,0,9.040849,11-MAR-17,26-JAN-47,0.848,0,,,,,,,,,,,"LB","T",32.8137,"N",0,0.0353,0
"AHZWBQX","00","P000023012","N1DAPKGSCX","SCX","                    ","PKG","                    ","1DA","                    ","000016","FEXP1 ","                    ","2","0000","                    ","                    ","USD","                    ",0.7478,0.3384,105.0492,23.266813,0,0,0,31.556713,11-MAR-17,26-JAN-47,0.875,0,,,,,,,,,,,"LB","T",105.7789,"N",28.416667,2.119293,13.4086
"AHZWBQY","00","P000023012","N1DPLTRSCX","SCX","                    ","LTR","                    ","1DP","                    ","000016","FEXSOS","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,31.509,6.370361,0,0,0,8.236722,11-MAR-17,26-JAN-47,0.59,0,,,,,,,,,,,"LB","T",31.509,"N",0,0.0353,0
"AHZWBQZ","00","P000023012","N1DPPKGSCX","SCX","                    ","PKG","                    ","1DP","                    ","000016","FEXSOS","                    ","2","0000","                    ","                    ","USD","                    ",1.1977,0.55,76.1021,12.009707,0,0,0,16.876608,11-MAR-17,26-JAN-47,1,0.1401,,,,,,,,,,,"LB","T",76.8646,"N",10.440051,0.900342,11.5957
"AHZWBRB","00","P000023012","N2DALTRSCX","SCX","                    ","LTR","                    ","2DA","                    ","000016","FEXECO","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,20.9238,5.720097,0,0,0,7.520853,11-MAR-17,26-JAN-47,0.626,0,,,,,,,,,,,"LB","T",21.2012,"N",0,0.0353,0
"AHZWBRC","00","P000023012","N2DAPKGSCX","SCX","                    ","PKG","                    ","2DA","                    ","000016","FEXECO","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,21.5054,6.126486,0,0,0,7.914168,11-MAR-17,26-JAN-47,0.606,0,,,,,,,,,,,"LB","T",21.9127,"N",0,0.153859,0
"AHZWBRD","00","P000023012","N2DMLTRSPB","SPB","                    ","LTR","                    ","2DM","                    ","000016","FEXECO","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,21.7325,6.728269,0,0,0,8.555957,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",21.9428,"N",0,0.0353,0
"AHZWBRE","00","P000023012","N2DMPKGSPB","SPB","                    ","PKG","                    ","2DM","                    ","000016","FEXECO","                    ","2","0000","                    ","                    ","USD","                    ",0.153,0.153,50.38,11.515443,0,0,0,13.966277,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",50.38,"N",22.5,1.867305,12.0495
"AHZWBSE","00","P000023012","N3DSPKGSCX","SCX","                    ","PKG","                    ","3DS","                    ","000016","FEDEXX","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,15.223,5.672672,0,0,0,7.522127,11-MAR-17,26-JAN-47,0.616,0,,,,,,,,,,,"LB","T",15.5404,"N",0,0.158808,0
"AHZWBSF","00","P000023012","NGNDPKGSPB","SPB","                    ","PKG","                    ","GND","                    ","000016","FEXGND","                    ","2","0000","                    ","                    ","USD","                    ",99.5123,4.4319,15.634,7.587087,0,0,0,10.052172,11-MAR-17,26-JAN-47,1,0.1083,,,,,,,,,,,"LB","T",16.3922,"N",27.214959,2.298016,11.8428
"AHZWBSO","00","P000023012","NGNDPKGSCR","SCR","                    ","PKG","                    ","GND","                    ","000016","FEXGND","                    ","2","0000","                    ","                    ","USD","                    ",0.2967,0.2967,9.3,4.380729,0,0,0,6.230966,11-MAR-17,26-JAN-47,0,0.0907,,,,,,,,,,,"LB","T",12.7,"N",4,0.340135,11.76
"AHZWBTY","00","P000023012","EXPRDOCALL","ALL","                    ","DOC","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,84.9843,7.617783,0,0,0,9.120457,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",84.9843,"E",0,0.0021,0
"AHZWBTZ","00","P000023012","EXPRLTRALL","ALL","                    ","LTR","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,54.254,8.129879,0,0,0,9.332618,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",54.254,"E",0,0.001,0
"AHZWBVA","00","P000023012","EXPRPKGALL","ALL","                    ","PKG","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,86.8942,6.688702,0,0,0,7.851522,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",86.8942,"E",0,0.0021,0
"AHZWBVC","00","P000023012","EXPDDOCALL","ALL","                    ","DOC","                    ","XPD","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,93.3035,7.762646,0,0,0,8.80941,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",93.3035,"E",0,0.0025,0
"AHZWBVD","00","P000023012","EXPDPKGALL","ALL","                    ","PKG","                    ","XPD","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,86.6768,6.85151,0,0,0,7.888935,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",86.6768,"E",0,0.0025,0
"AHZWBVE","00","P000023012","EWXSDOCALL","ALL","                    ","DOC","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,110.5208,9.106257,0,0,0,10.545659,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",110.5208,"E",0,0.0021,0
"AHZWBVF","00","P000023012","EWXSLTRALL","ALL","                    ","LTR","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,60.9322,9.433645,0,0,0,10.936156,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",60.9322,"E",0,0.001,0
"AHZWBVG","00","P000023012","EWXSPKGALL","ALL","                    ","PKG","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,89.8451,7.82525,0,0,0,9.121957,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",89.8451,"E",0,0.0021,0
"AHZWBVH","00","P000023012","EWWSPKGALL","ALL","                    ","PKG","                    ","WWS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,49.5395,2.491797,0,0,0,3.118327,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",49.5395,"E",0,0.0019,0
"AHZWBVI","00","P000023012","EWWSDOCALL","ALL","                    ","DOC","                    ","WWS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,49.78,2.491797,0,0,0,3.118327,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",49.78,"E",0,0.0019,0
"AHZWBVJ","00","P000023012","EXPRPAKALL","ALL","                    ","PAK","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,70.8975,6.956236,0,0,0,8.557323,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",70.8975,"E",0,0.0021,0
"AHZWBVK","00","P000023012","EWXSPAKALL","ALL","                    ","PAK","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,79.1559,7.137466,0,0,0,7.838674,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",79.1559,"E",0,0.0021,0
"AHZWBVL","00","P000023012","EWXPPALALL","ALL","                    ","PAL","                    ","WXP","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,1420.5325,92.708831,0,0,0,123.720196,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",1420.5325,"E",0,1.32,0
"AHZWBWX","00","P000023012","IXPDDOCALL","ALL","                    ","DOC","                    ","XPD","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,121.0964,18.084052,0,0,0,19.4803,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",121.0964,"I",0,0.0025,0
"AHZWBWY","00","P000023012","IXPDPKGALL","ALL","                    ","PKG","                    ","XPD","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,121.0964,18.805401,0,0,0,20.202175,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",121.0964,"I",0,0.0025,0
"AHZWBWZ","00","P000023012","IXPRDOCALL","ALL","                    ","DOC","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,106.9329,18.295536,0,0,0,19.687934,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",106.9329,"I",0,0.0021,0
"AHZWBXA","00","P000023012","IXPRLTRALL","ALL","                    ","LTR","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,83.2468,17.385118,0,0,0,18.7767,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",83.2468,"I",0,0.001,0
"AHZWBXC","00","P000023012","IXPRPKGALL","ALL","                    ","PKG","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,137.0911,20.428888,0,0,0,21.821812,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",137.0911,"I",0,0.0021,0
"AHZWBXD","00","P000023012","IWXSDOCALL","ALL","                    ","DOC","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,99.9279,17.533937,0,0,0,19.212421,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",99.9279,"I",0,0.0021,0
"AHZWBXE","00","P000023012","IWXSLTRALL","ALL","                    ","LTR","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,80.0104,16.753499,0,0,0,18.462709,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",80.0104,"I",0,0.001,0
"AHZWBXF","00","P000023012","IWXSPKGALL","ALL","                    ","PKG","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,132.3252,19.8307,0,0,0,21.50971,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",132.3252,"I",0,0.0021,0
"AHZWBXG","00","P000023012","IWWSPKGALL","ALL","                    ","PKG","                    ","WWS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,40.73,3.285597,0,0,0,4.61423,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",40.73,"I",0,0.0019,0
"AHZWBXH","00","P000023012","IWWSDOCALL","ALL","                    ","DOC","                    ","WWS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,40.73,2.985597,0,0,0,4.31423,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",40.73,"I",0,0.0019,0
"AHZWBXI","00","P000023012","IWXPPALALL","ALL","                    ","PAL","                    ","WXP","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,1742.54,81.126032,0,0,0,126.630656,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",1742.54,"I",0,1.32,0
"AHZWBYY","00","P000023012","IGNDPKGALL","ALL","                    ","PKG","                    ","GND","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,23.32,3.552046,0,0,0,4.802499,11-MAR-17,26-JAN-47,0.783,0,,,,,,,,,,,"LB","T",23.32,"I",0,0.0019,0
"AHZWBYZ","00","P000023012","EGNDPKGALL","ALL","                    ","PKG","                    ","GND","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,22.054,3.250352,0,0,0,3.68457,11-MAR-17,26-JAN-47,1,0,,,,,,,,,,,"LB","T",22.054,"E",0,0.0019,0
"AHZYKBS","00","P000023016","N1DALTRSCX","SCX","                    ","LTR","                    ","1DA","                    ","000016","FEXP1 ","                    ","1","0000","                    ","                    ","USD","                    ",6.4,0,39.5669,4.636295,0,0,14.776,6.543212,11-MAR-17,26-JAN-47,0.9375,0,,,,,,,,,,,"LB","T",40.1356,"N",0,0.0353,0
"AHZYKBT","00","P000023016","N1DAPKGSCX","SCX","                    ","PKG","                    ","1DA","                    ","000016","FEXP1 ","                    ","1","0000","                    ","                    ","USD","                    ",2,0,222.825,30.405349,0,0,80.969,42.235242,11-MAR-17,26-JAN-47,0.9444,0,,,,,,,,,,,"LB","T",223.9333,"N",27.666667,2.181006,12.6853
"AHZYKBU","00","P000023016","N1DPLTRSCX","SCX","                    ","LTR","                    ","1DP","                    ","000016","FEXSOS","                    ","1","0000","                    ","                    ","USD","                    ",6.6,0,37.7225,3.904994,0,0,13.9573,5.840644,11-MAR-17,26-JAN-47,0.9375,0,,,,,,,,,,,"LB","T",38.2913,"N",0,0.0353,0
